nº;FR;PA80;swo;gyeli;bekwel;bekol;konzime;makaa;mpiemo;kwasio;njem;shiwa;BC (BLR3);Reconstr. Régionales (BLR 3);Reconstr. Mougiama, Hombert;;;;
171;champignon;°ɟ°ɔ̌;yɛ̀;yɛ́;ɡɔ̌;ɟwə̀;;ɡwòó;ɡwɔ̌;;;jə́;;;
172;changer 1;°s°V́°l°à;;;swólà;;;ʃwólà;;;sjɛ́ɛ́lâ;;;;
173;changer 2;°c°é°n°d°à;kíndà;síndya;;cênd;cénè;cɛ́nd;;;cénê;;;;
174;chanson;°ɟ°é°m°b°à;ɟéì;gyà;ɟeb;;ɟɩ̂m;;;ɟǎ;ɟɩ̂m;;;;
175;chant du coq;°k°ɔ́°K°à;kwáʔàlə̀;;kɔ́à;kwâɡ;kwâʔ;;kɔ̄ɡɔ̀;kwaˤ;;;;;
176;chanter;°ɟ°è°m°b°à;ɟéì;dyà;;;ɟjɛ̀ɛ̀;ɟámb;ɟēmbɔ̄;ɡìɛ̀;ɟɛ̀ɛ̀;ɟɛ̀;;;
177;chanvre;°ɟ°à°m°b°à;;;ɲàbà;;ɟàmà;;ɟàmà;;;;;;
178;charbon;;fyìɾə̀ʔ;gyâ;b̥íl;mpíl;mpíl;;mpīlī;mvulsiəˤ;;kfə́lá;;;
179;charɡe;;;;b̥ɛ̂p;;;;mbàbī;mbʰàb;;;;;
180;charger;°k°á°ŋ°à°l°à;kàŋɡə̀lə̀;;káŋàl;kálò;kààlè;;;kaŋla;kààlò;;;;
181;chasse 1;°ɡ°w°à;;;wàg̥ɛ̂l;;ɡbà;;;;ɡwǎ;;;;
182;chasse 2;°s°ǒ°m°b;ʃùmbə̄;sùmbɔ́;;ʃwòmb;sʊ̌m;;;;sʊ̌m;;;;
183;chasse au filet;°b°j°é°m°à;bímə̀;bwímɔ̀;bjêm;;bjémè;bjâm;ɓjēmɔ̀;;;;;;
184;chasser 1;°s°ɔ̀°m°b°à;ʃùmbə̀;;sɔ̀;ʃwò;sò;;;swambɔ;sò;;;;
185;chasser 2;°ɡ°ú°n°ɡ;;;;wíìnɡ;;wíínɡ;wûŋ;;;;;;
186;chasser 3;°ɡ°w°à;;;wà;wà;ɡbà;;;;;;;;
187;chat doré;°b°j°ê;;;bjɛ̂;;bjê;;;;bwê;;;°b°ò°a;
188;chat sauvage;;bà;;;mpà;mpà;mpà;mpà;mbʰəˤ;mpà;pà;;;
189;chatouiller;°ɲ°ù°K°à°l°à;ɲwàʔàlə̀;;ɲùdlà;;nwàʔrè;ɲwàɡə̀lə̀;;ɲɥamlɛ;;;;;
190;chaud;°ɟ°ú°n°ɡ°À;ɡvúŋə̀;dyṵ̂;ɡwô;ɟúŋə̀;ɟúò;àɡóɡwô;ɡwûŋ;ɡwəˤ;ɟúó;ɡvô;;;
191;chaussure;;ŋɡùbù;kùndá;;nkwòb;nɡʊ̀b;nɡùb;;;nɡʊ̀b;;;;
192;chauve-souris;°ɡ°ù°p;vùbù;wùwù;wùp;;;wùf;;vub;;;;;
193;chauve-souris sp 1;;;gyɛ́mɔ̀;;nɟə̀m;nɟjɛ̂m;ɟâm;;ɟama;ɟjɛ̂m;ɡámə̀;;;
194;chauve-souris sp 2;;ɡvù;;g̥ù;nkù;;nkù;;;;;;;
195;chauve-souris sp 3;°b°à°n°t°ɔ́°n°d°á;;;bàd̥ɔ́dɔ́;;bàntɔ́ná;;;;bàntɔ́ná;;;;
196;chef;°ɟ°ù°ì;ɡwíì;;nɡɥíì;nɟwî;ɟǿø̀;ɟû;;;;;;;
197;chef de famille;°k°ú°m°á;kfúŋkfúmà;kfúmá;kúkúmá;kúkúmá;;;;;kúkúmá;;;;
198;chemin;;zē;ndzǐ;zě;ncì;nzɩ̌;ʒìí;ncě;nzi;nsɩ̌;ʒí;;;
199;chenille;°k°ò°ŋ;kǔŋ;;kòŋ;kùŋ;kʊ̀ʊ́;;kòōŋ;kuŋ;kʊ̀ʊ̀;;*ɡ*ʊ̀*n*ɡ*ʊ́;;
200;chercher;°s°á°ŋ;sɔ̀ŋ;;sáà;sáŋ;sáà;sô;sâŋ;;sáà;;;;
201;cheval 1;°k°à°b°à°l°á;kàbə́lá;kábálá;;kàbàlá;kàbàlá;káwə̀lí;;;;;;;
